Gene_name	cluster_number
APOBEC2	16
APOBEC3A	16
APOBEC3A_B	16
APOBEC3B	16
APOBEC3C	16
APOBEC3D	16
APOBEC3F	16
APOBEC3G	16
APOBEC3H	16
APOBEC4	16
APOBR	16
APOC1	9
APOC2	16
APOC3	9
APOC4	9
APOD	32
APOE	16
APOF	9
APOH	10
APOL1	16
APOL2	16
APOL3	16
APOL4	16
APOL5	16
APOL6	16
APOLD1	16
APOM	16
APOO	1
APOOL	1
APP	6
APPBP2	14
APPL1	46
APPL2	46
APRT	2
APTX	32
AQP1	47
AQP10	47
AQP11	48
AQP12A	6
AQP12B	6
AQP2	47
AQP3	47
AQP4	47
AQP5	47
AQP6	47
AQP7	47
AQP8	47
AQP9	47
AQR	7
AR	4
ARAF	7
ARAP1	7
ARAP2	7
ARAP3	7
ARC	16
ARCN1	7
AREG	16
AREL1	7
ARF1	7
ARF3	7
ARF4	7
ARF5	7
ARF6	7
ARFGAP1	7
ARFGAP2	7
ARFGAP3	7
ARFGEF1	7
ARFGEF2	7
ARFGEF3	46
ARFIP1	10
ARFIP2	10
ARFRP1	7
ARG1	47
ARG2	47
ARGFX	32
ARGLU1	4
ARHGAP1	45
ARHGAP10	57
ARHGAP11A	57
ARHGAP11A-SCG5	57
ARHGAP11B	57
ARHGAP12	57
ARHGAP15	57
ARHGAP17	53
ARHGAP18	57
ARHGAP19	57
ARHGAP20	57
ARHGAP21	57
ARHGAP22	3
ARHGAP23	57
ARHGAP24	3
ARHGAP25	57
ARHGAP26	57
ARHGAP27	57
ARHGAP28	57
ARHGAP29	57
ARHGAP30	57
ARHGAP31	57
ARHGAP32	57
ARHGAP33	57
ARHGAP35	57
ARHGAP36	20
ARHGAP39	57
ARHGAP4	57
ARHGAP40	57
ARHGAP42	57
ARHGAP44	57
ARHGAP45	57
ARHGAP5	57
ARHGAP6	57
ARHGAP8	53
ARHGAP9	57
ARHGDIA	57
ARHGDIB	57
ARHGDIG	57
ARHGEF1	20
ARHGEF10	20
ARHGEF10L	20
ARHGEF11	20
ARHGEF12	20
ARHGEF15	20
ARHGEF16	20
ARHGEF17	20
ARHGEF18	20
ARHGEF19	20
ARHGEF2	20
ARHGEF25	20
ARHGEF26	20
ARHGEF28	20
ARHGEF3	20
ARHGEF33	1
ARHGEF35	9
ARHGEF37	20
ARHGEF38	20
ARHGEF39	34
ARHGEF4	20
ARHGEF40	10
ARHGEF5	20
ARHGEF6	57
ARHGEF7	57
ARHGEF9	20
ARID1A	5
ARID1B	5
ARID2	49
ARID3A	5
ARID3B	5
ARID3C	5
ARID4A	5
ARID4B	5
ARID5A	4
ARID5B	35
ARIH1	3
ARIH2	3
ARL1	7
ARL10	7
ARL11	7
ARL13A	7
ARL13B	7
ARL14	7
ARL14EP	4
ARL14EPL	4
ARL15	7
ARL16	7
ARL17A	7
ARL17B	7
ARL2	7
ARL2BP	56
ARL3	7
ARL4A	7
ARL4C	7
ARL4D	7
ARL5A	7
ARL5B	7
ARL5C	7
ARL6	7
ARL6IP1	6
ARL6IP4	38
ARL6IP5	6
ARL6IP6	16
ARL8A	7
ARL8B	7
ARL9	7
ARMC1	1
ARMC10	16
ARMC12	16
ARMC2	56
ARMC3	15
ARMC4	2
ARMC5	28
ARMC6	51
ARMC7	44
ARMC8	5
ARMC9	35
ARMCX1	16
ARMCX2	16
ARMCX3	16
ARMCX4	1
ARMCX5	16
ARMCX6	16
ARMH1	1
ARMH2	9
ARMH3	5
ARMH4	16
ARMS2	30
ARMT1	36
ARNT	38
ARNT2	10
ARNTL	10
ARNTL2	10
ARPC1A	45
ARPC1B	7
ARPC2	45
ARPC3	45
ARPC4	45
ARPC4-TTLL3	7
ARPC5	57
ARPC5L	57
ARPIN	1
ARPIN-AP3S2	7
ARPP19	6
ARPP21	25
ARR3	10
ARRB1	10
ARRB2	10
ARRDC1	4
ARRDC2	38
ARRDC3	10
ARRDC4	38
ARRDC5	4
ARSA	11
ARSB	11
ARSD	11
ARSF	11
ARSG	11
ARSH	11
ARSI	11
ARSJ	11
ARSK	11
ARSL	11
ART1	16
ART3	16
ART4	16
ART5	16
ARTN	16
ARV1	25
ARVCF	21
ARX	34
AS3MT	17
ASAH1	17
ASAH2	46
ASAH2B	46
ASAP1	7
ASAP2	7
ASAP3	7
ASB1	7
ASB10	7
ASB11	7
ASB12	7
ASB13	7
ASB14	7
ASB15	7
ASB16	7
ASB17	9
ASB18	41
ASB2	7
ASB3	7
ASB4	7
ASB5	15
ASB6	8
ASB7	7
ASB8	7
ASB9	7
ASCC1	32
ASCC2	12
ASCC3	7
ASCL1	4
ASCL2	4
ASCL3	4
ASCL4	4
ASCL5	4
ASDURF	9
ASF1A	7
ASF1B	7
ASGR1	17
ASGR2	17
ASH1L	7
ASH2L	49
ASIC1	4
ASIC2	4
ASIC3	4
ASIC4	4
ASIC5	4
ASIP	9
ASL	45
ASMT	48
ASMTL	26
ASNS	3
ASNSD1	15
ASPA	1
ASPDH	1
ASPG	41
ASPH	17
ASPHD1	17
ASPHD2	17
ASPM	41
ASPN	3
ASPRV1	9
ASPSCR1	23
ASRGL1	5
ASS1	45
ASTE1	38
ASTL	13
ASTN1	16
ASTN2	16
ASXL1	4
ASXL2	4
ASXL3	4
ASZ1	7
ATAD1	7
ATAD2	7
ATAD2B	7
ATAD3A	7
ATAD3B	7
ATAD3C	7
ATAD5	7
ATAT1	56
ATCAY	5
ATE1	37
ATF1	13
ATF2	5
ATF3	4
ATF4	10
ATF5	10
ATF6	32
ATF6B	10
ATF7	5
ATF7-NPFF	5
ATF7IP	18
ATF7IP2	6
ATG10	55
ATG101	32
ATG12	45
ATG13	4
ATG14	4
ATG16L1	7
ATG16L2	7
ATG2A	45
ATG2B	45
ATG3	15
ATG4A	15
ATG4B	15
ATG4C	15
ATG4D	15
ATG5	45
ATG7	7
ATG9A	45
ATG9B	45
ATIC	45
ATL1	14
ATL2	14
ATL3	14
ATM	7
ATMIN	32
ATN1	6
ATOH1	4
ATOH7	4
ATOH8	4
ATOX1	32
ATP10A	7
ATP10B	7
ATP10D	7
ATP11A	7
ATP11B	7
ATP11C	7
ATP12A	7
ATP13A1	7
ATP13A2	7
ATP13A3	7
ATP13A4	7
ATP13A5	7
ATP1A1	7
ATP1A2	7
ATP1A3	7
ATP1A4	7
ATP1B1	4
ATP1B2	4
ATP1B3	4
ATP1B4	4
ATP23	2
ATP2A1	7
ATP2A2	7
ATP2A3	7
ATP2B1	7
ATP2B2	7
ATP2B3	7
ATP2B4	7
ATP2C1	7
ATP2C2	7
ATP4A	7
ATP4B	4
ATP5F1A	7
ATP5F1B	7
ATP5F1C	2
ATP5F1D	2
ATP5F1E	16
ATP5IF1	4
ATP5MC1	50
ATP5MC2	50
ATP5MC3	50
ATP5MD	16
ATP5ME	16
ATP5MF	6
ATP5MF-PTCD1	8
ATP5MG	10
ATP5MGL	10
ATP5MPL	9
ATP5PB	4
ATP5PD	10
ATP5PF	4
ATP5PO	26
ATP6	50
ATP6AP1	4
ATP6AP1L	16
ATP6AP2	4
ATP6V0A1	7
ATP6V0A2	7
ATP6V0A4	7
ATP6V0B	7
ATP6V0C	7
ATP6V0D1	7
ATP6V0D2	7
ATP6V0E1	4
ATP6V0E2	4
ATP6V1A	7
ATP6V1B1	7
ATP6V1B2	7
ATP6V1C1	7
ATP6V1C2	7
ATP6V1D	7
ATP6V1E1	7
ATP6V1E2	7
ATP6V1F	7
ATP6V1FNB	1
ATP6V1G1	45
ATP6V1G2	45
ATP6V1G3	32
ATP6V1H	7
ATP7A	7
ATP7B	7
ATP8	9
ATP8A1	7
ATP8A2	7
ATP8B1	7
ATP8B2	7
ATP8B3	7
ATP8B4	7
ATP9A	7
ATP9B	7
ATPAF1	25
ATPAF2	2
ATPSCKMT	17
ATR	7
ATRAID	16
ATRIP-TREX1	1
ATRN	2
ATRNL1	41
ATRX	7
ATXN1	4
ATXN10	45
ATXN1L	4
ATXN2	39
ATXN2L	39
ATXN3	49
ATXN3L	49
ATXN7	43
ATXN7L1	43
ATXN7L2	10
ATXN7L3	32
ATXN7L3B	16
AUH	2
AUNIP	9
AUP1	10
AURKA	7
AURKAIP1	16
AURKB	7
AURKC	7
AUTS2	6
AVEN	16
AVIL	23
AVL9	34
AVP	1
AVPI1	16
AVPR1A	4
AVPR1B	4
AVPR2	4
AWAT1	2
AWAT2	2
AXDND1	58
AXIN1	10
AXIN2	10
AXL	7
AZGP1	16
AZI2	16
AZIN1	3
AZIN2	3
AZU1	22
B2M	16
B3GALNT1	55
B3GALNT2	55
B3GALT1	55
B3GALT2	55
B3GALT4	55
B3GALT5	55
B3GALT6	55
B3GAT1	32
B3GAT2	32
B3GAT3	32
B3GLCT	55
B3GNT2	55
B3GNT3	55
B3GNT4	55
B3GNT5	55
B3GNT6	55
B3GNT7	55
B3GNT8	55
B3GNT9	55
B3GNTL1	17
B4GALNT1	16
B4GALNT2	16
B4GALNT3	10
B4GALNT4	10
B4GALT1	17
B4GALT2	17
B4GALT3	17
B4GALT4	17
B4GALT5	17
B4GALT6	17
B4GALT7	17
B4GAT1	31
B9D1	30
B9D2	56
BAALC	16
BAAT	1
BABAM1	1
BABAM2	48
BACE1	26
BACE2	26
BACH1	10
BACH2	4
BAD	16
BAG1	1
BAG2	6
BAG3	36
BAG4	4
BAG5	4
BAG6	59
BAGE2	30
BAGE5	30
BAHCC1	28
BAHD1	44
BAIAP2	4
BAIAP2L1	10
BAIAP2L2	6
BAIAP3	46
BAK1	1
BAMBI	1
BANF1	10
BANF2	10
BANK1	6
BANP	1
BAP1	41
BARD1	7
BARHL1	32
BARHL2	4
BARX1	4
BARX2	4
BASP1	16
BATF	1
BATF2	16
BATF3	16
BAX	1
BAZ1A	7
BAZ1B	7
BAZ2A	26
BAZ2B	7
BBC3	30
BBIP1	30
BBOF1	58
BBOX1	20
BBS1	56
BBS10	3
BBS12	1
BBS2	56
BBS4	7
BBS5	56
BBS7	56
BBS9	56
BBX	38
BCAM	4
BCAN	17
BCAP29	34
BCAP31	25
BCAR1	43
BCAR3	10
BCAS1	16
BCAS2	5
BCAS3	5
BCAS4	1
BCAT1	3
BCAT2	3
BCCIP	39
BCDIN3D	51
BCHE	11
BCKDHA	2
BCKDHB	2
BCKDK	2
BCL10	1
BCL11A	53
BCL11B	53
BCL2	6
BCL2A1	1
BCL2L1	6
BCL2L10	9
BCL2L11	16
BCL2L12	16
BCL2L13	16
BCL2L14	16
BCL2L15	9
BCL2L2-PABPN1	7
BCL3	7
BCL6	27
BCL6B	27
BCL7A	4
BCL7B	16
BCL7C	4
BCL9	16
BCL9L	16
BCLAF1	16
BCLAF3	16
BCO1	21
BCO2	21
BCOR	7
BCORL1	7
BCR	57
BCS1L	7
BDH1	7
BDH2	3
BDKRB1	4
BDKRB2	4
BDNF	16
BDP1	26
BEAN1	16
BECN1	2
BECN2	2
BEGAIN	6
BEND2	16
BEND3	16
BEND4	16
BEND5	16
BEND6	9
BEND7	16
BEST1	6
BEST2	6
BEST3	6
BEST4	6
BET1	5
BET1L	48
BEX1	9
BEX2	9
BEX3	9
BEX4	9
BEX5	9
BFAR	54
BFSP1	16
BFSP2	6
BGLAP	16
BGN	3
BHLHA15	4
BHLHA9	6
BHLHB9	16
BHLHE22	4
BHLHE23	4
BHLHE40	4
BHLHE41	4
BHMG1	16
BHMT	48
BHMT2	48
BICC1	25
BICD1	4
BICD2	4
BICDL1	10
BICDL2	6
BICRA	6
BICRAL	4
BID	16
BIK	9
BIN1	34
BIN2	34
BIN3	43
BIRC2	3
BIRC3	3
BIRC5	38
BIRC6	7
BIRC7	14
BIVM	1
BIVM-ERCC5	7
BLCAP	6
BLID	30
BLK	7
BLM	7
BLMH	43
BLNK	6
BLOC1S1	46
BLOC1S2	32
BLOC1S3	16
BLOC1S4	1
BLOC1S5	1
BLOC1S6	1
BLVRA	16
BLVRB	48
BLZF1	10
BMERB1	16
BMF	16
BMI1	55
BMP1	17
BMP10	4
BMP15	4
BMP2	4
BMP2K	7
BMP3	4
BMP4	4
BMP5	4
BMP6	4
BMP7	4
BMP8A	4
BMP8B	4
BMPER	4
BMPR1A	7
BMPR1B	7
BMPR2	7
BMS1	7
BMT2	17
BMX	7
BNC1	6
BNC2	6
BNIP1	32
BNIP2	5
BNIP3	1
BNIP3L	1
BNIP5	9
BNIPL	5
BOC	4
BOD1	4
BOD1L1	4
BOD1L2	4
BOK	4
BOLA1	26
BOLA2	25
BOLA2-SMG1P6	1
BOLA2B	25
BOLA3	15
BOLL	7
BOP1	7
BORA	4
BORCS5	10
BORCS6	10
BORCS7	6
BORCS8	10
BPGM	26
BPHL	46
BPI	48
BPIFA1	9
BPIFA2	9
BPIFA3	9
BPIFB1	16
BPIFB2	1
BPIFB3	16
BPIFB4	48
BPIFB6	16
BPIFC	48
BPNT1	24
BPTF	7
BPY2	30
BPY2B	30
BPY2C	30
BRAP	3
BRAT1	1
BRCA1	29
BRCA2	12
BRCC3	7
BRD1	7
BRD2	7
BRD3	7
BRD3OS	30
BRD4	7
BRD7	7
BRD8	7
BRDT	7
BRF1	7
BRF2	25
BRI3	9
BRI3BP	16
BRICD5	16
BRINP1	16
BRINP2	16
BRINP3	16
BRIP1	7
BRIX1	7
BRK1	55
BRMS1	38
BRMS1L	4
BROX	32
BRPF1	7
BRPF3	7
BRS3	4
BRSK1	7
BRSK2	7
BRWD1	7
BRWD3	7
BSCL2	46
BSDC1	25
BSG	6
BSN	1
BSND	16
BSPH1	16
BSPRY	16
BST1	1
BST2	9
BSX	32
BTAF1	7
BTBD1	14
BTBD10	10
BTBD11	7
BTBD16	10
BTBD17	4
BTBD18	4
BTBD19	42
BTBD2	14
BTBD3	14
BTBD6	14
BTBD7	4
BTBD8	16
BTBD9	49
BTC	16
BTD	10
BTF3	2
BTF3L4	15
BTG1	38
BTG2	38
BTG3	38
BTG4	38
BTK	7
BTLA	16
BTN1A1	16
BTN2A1	16
BTN2A2	16
